id,location,search_term,state,slug
1,Gold Coast,holiday parks Gold Coast Queensland,QLD,gold-coast
2,Noosa,holiday parks Noosa Queensland,QLD,noosa
3,Sunshine Coast,holiday parks Sunshine Coast Queensland,QLD,sunshine-coast
4,Airlie Beach,holiday parks Airlie Beach Queensland,QLD,airlie-beach
5,Whitsundays,holiday parks Whitsundays Queensland,QLD,whitsundays
6,Cairns,holiday parks Cairns Queensland,QLD,cairns
7,Port Douglas,holiday parks Port Douglas Queensland,QLD,port-douglas
8,Mission Beach,holiday parks Mission Beach Queensland,QLD,mission-beach
9,Hervey Bay,holiday parks Hervey Bay Queensland,QLD,hervey-bay
10,Fraser Island,holiday parks Fraser Island K'gari Queensland,QLD,fraser-island
11,Rainbow Beach,holiday parks Rainbow Beach Queensland,QLD,rainbow-beach
12,Bundaberg,holiday parks Bundaberg Queensland,QLD,bundaberg
13,Rockhampton,holiday parks Rockhampton Queensland,QLD,rockhampton
14,Yeppoon,holiday parks Yeppoon Queensland,QLD,yeppoon
15,Agnes Water,holiday parks Agnes Water Queensland,QLD,agnes-water
16,1770,holiday parks 1770 Queensland,QLD,1770
17,Townsville,holiday parks Townsville Queensland,QLD,townsville
18,Magnetic Island,holiday parks Magnetic Island Queensland,QLD,magnetic-island
19,Mackay,holiday parks Mackay Queensland,QLD,mackay
20,Bribie Island,holiday parks Bribie Island Queensland,QLD,bribie-island
21,Moreton Bay,holiday parks Moreton Bay Queensland,QLD,moreton-bay
22,Toowoomba,holiday parks Toowoomba Queensland,QLD,toowoomba
23,Stanthorpe,holiday parks Stanthorpe Queensland,QLD,stanthorpe
24,Gold Coast Hinterland,holiday parks Gold Coast Hinterland Queensland,QLD,gold-coast-hinterland
25,Maleny,holiday parks Maleny Queensland,QLD,maleny
26,Montville,holiday parks Montville Queensland,QLD,montville
27,Tin Can Bay,holiday parks Tin Can Bay Queensland,QLD,tin-can-bay
28,Byron Bay,holiday parks Byron Bay NSW,NSW,byron-bay
29,Ballina,holiday parks Ballina NSW,NSW,ballina
30,Lennox Head,holiday parks Lennox Head NSW,NSW,lennox-head
31,Brunswick Heads,holiday parks Brunswick Heads NSW,NSW,brunswick-heads
32,Kingscliff,holiday parks Kingscliff NSW,NSW,kingscliff
33,Coffs Harbour,holiday parks Coffs Harbour NSW,NSW,coffs-harbour
34,Port Macquarie,holiday parks Port Macquarie NSW,NSW,port-macquarie
